seg_id,time_to_failure
seg_00f3b9,4.527519797030164
seg_d320f5,3.4520946554125063
seg_7cef95,7.2522335076979765
seg_bc07c8,0.8875490792579868
seg_4ad674,5.376382067712184
seg_b4402d,9.334961201467925
seg_dc5e63,2.626423481644809
seg_3d06cc,4.906085684771163
seg_103b32,4.164492594594734
seg_13468a,4.542614575441371
seg_98ebaa,9.215546126092072
seg_492dc6,4.973289993052626
seg_650de2,5.049585672470388
seg_434c96,2.7043290791618766
seg_b26368,5.632117654495454
seg_a55540,9.455161418186421
seg_19515c,5.475413398892807
seg_8c0114,4.529704022837543
seg_b20487,8.991957991039648
seg_1abcaf,2.875679129199905
seg_93f935,4.312856004406454
seg_ab4bca,3.0840713862778517
seg_37608b,6.19458637192537
seg_335170,3.2929931142567277
seg_a25c46,5.14897135286389
seg_f650cc,2.917588588674241
seg_4ae712,9.2720101920515
seg_1fa983,3.02725918396534
seg_695380,3.5557640505793358
seg_4d8f0f,6.923431440647099
seg_ea9d37,3.741434494258232
seg_1f3ede,3.6516343785004155
seg_71c9e9,4.30781237151034
seg_eaa0ec,6.615801264514261
seg_34ef79,4.190072866658099
seg_9872f9,6.259685389968978
seg_211299,6.575602328786559
seg_9bab11,10.107029806277573
seg_d7967e,8.131381360934931
seg_2f4f14,4.781684441679584
seg_a68007,4.219241602209455
seg_97ad82,7.566845642701939
seg_ea9fa4,9.751085267242757
seg_e30ef5,1.8866843587033935
seg_268956,5.6416872907361055
seg_025e78,5.49610239948986
seg_3cbccf,5.649962115098136
seg_e30e44,2.4645464942869
seg_a91c03,7.657562561777049
seg_f734c8,8.927335768716066
seg_ff2f2d,5.76947414356275
seg_5470ca,5.150211406374073
seg_b36c8a,2.766801357823771
seg_0dc38f,1.6900206886431017
seg_e53a52,4.647363123025924
seg_316f86,4.963250279570107
seg_1b08a4,6.121448078301833
seg_468fdb,4.167827087748497
seg_13e25f,7.847890400696841
seg_5bc0b0,9.124931609816946
seg_8c1cca,5.5797456333151745
seg_e9a09f,4.675488307122306
seg_dcb51d,4.331804497262029
seg_c60f1d,3.812957791191245
seg_46b84d,6.514750198225132
seg_016913,4.710601197918226
seg_ead30e,4.842829698127999
seg_3878d0,3.6877521335010406
seg_ebec3e,2.7002334132853334
seg_c5c6ea,5.903380677921857
seg_ed7f69,3.11848772750238
seg_247262,5.15528704766673
seg_a86231,5.4619162466318025
seg_5887a8,8.540427762798496
seg_94a133,4.072124743971981
seg_be0cdc,3.134763683095737
seg_4e0c4a,8.930218098041946
seg_eabb2c,9.162798991861262
seg_e72f10,8.119624318236955
seg_7bf143,3.446839277116313
seg_76c2fa,4.516374981223042
seg_be0dfa,6.999145522303278
seg_f931de,4.233002010167905
seg_39ad50,6.165965712098954
seg_383b6b,4.950606283440701
seg_6c909f,3.86766558904086
seg_8f3247,7.280444684415021
seg_74ce61,8.09589049475014
seg_4c18e2,4.335229237454908
seg_91cff2,4.7613181047741024
seg_4dbbd1,8.013270521076711
seg_166f70,10.084701489532637
seg_741fc1,8.386329588795117
seg_79dc90,6.894730335600016
seg_ad3cf0,4.774202479744788
seg_24ba8d,6.036201775818805
seg_ae9761,9.534192837330616
seg_e40d64,7.427514271280999
seg_8d3a9d,5.883666708209356
seg_5cde88,2.3012044711820825
seg_552b8e,8.836930929351022
seg_9d68cf,3.966228820350553
seg_3aca44,3.4415480211145497
seg_9dea8d,7.139732904806875
seg_17e596,7.0264970862177965
seg_92a5f1,5.798731382146632
seg_3f5be6,5.815504673921874
seg_92af10,8.48504848580913
seg_35b009,4.413508106780144
seg_6a45a0,5.456014372865538
seg_7cbb45,5.356408336983831
seg_d3992e,9.143571538866848
seg_82c138,7.779919927035822
seg_6c8a45,5.503075253381407
seg_8d135f,7.996678295775705
seg_1f5240,4.689703151539188
seg_b9361a,6.02920047213527
seg_5b7325,3.1653138208438705
seg_eebbc2,6.400508570716662
seg_c5dee4,2.1462951995460244
seg_ecf81b,9.178976926907877
seg_9a43ef,8.744773839124637
seg_c42952,6.401727461213874
seg_2efd5c,8.445253792420715
seg_91596c,7.341757862622313
seg_9f6315,3.7984083134160747
seg_00cc91,4.861181459829599
seg_c5256d,5.63009942805397
seg_64be5d,8.060255536897682
seg_0c9aa8,9.146075480386246
seg_46012e,9.841564059639246
seg_ebe36c,5.419250931372776
seg_89791c,4.478822253774253
seg_670bde,2.8572050263027977
seg_907c52,5.849123527741963
seg_7480f4,7.4416774365163585
seg_e34052,4.686335828581194
seg_71b4e0,3.300788704984659
seg_cb0e21,9.488012605686002
seg_477c83,6.082929063691431
seg_27b7c8,6.980848742360198
seg_0cdcc8,4.2201768716422645
seg_d5df41,7.61373164564313
seg_fdba93,4.104018246993628
seg_c472cf,7.794643389046838
seg_d1a2b9,3.539502944346776
seg_b31961,5.527960224328034
seg_e92526,5.320577488303529
seg_75ffc9,4.375359432590278
seg_c17817,3.585498780317109
seg_81bebd,8.945850034631917
seg_95b321,2.3213180878134856
seg_b08e9d,9.625905050257074
seg_b8bb87,10.37477502602528
seg_0488a1,8.070784600339621
seg_d88da7,7.813248797407589
seg_ff7478,5.374551093605929
seg_83cb2c,4.424934377407222
seg_ba3e74,4.574132777468105
seg_9bee43,4.010569352096654
seg_c27591,4.024273114337337
seg_56ebc7,3.3721323437974937
seg_091c9d,9.143169381564144
seg_33c30d,3.232862105630459
seg_3b95dc,3.4695182023765057
seg_3c4106,4.275034733681808
seg_6b4e04,8.865448845316612
seg_1a8e06,3.5741149558067313
seg_d31583,9.784728451948414
seg_a2c108,9.822454389754416
seg_be4612,9.861697295381319
seg_1a671a,3.922013902130811
seg_e481c7,6.440721229968168
seg_2d7cc4,4.852874579800918
seg_d0c280,2.592296669538271
seg_6fc3ef,8.357445238151195
seg_a56c04,4.986192240656634
seg_19e1ff,5.983091991206603
seg_89b090,0.9380374072309552
seg_d42c77,6.081253583522362
seg_301c1e,6.198184471631754
seg_324447,6.470275004822078
seg_1e0523,4.440639070632066
seg_702e03,4.400675827709012
seg_fedbd1,8.141390247330017
seg_88a81d,4.119697157050384
seg_a00985,4.797299439740337
seg_76f1af,3.155905802604266
seg_0d540e,3.6716336347168643
seg_0125d9,4.568085634119122
seg_705463,2.736434774180208
seg_e80726,5.388797478440202
seg_75cd6a,5.1406652238067
seg_563059,7.0670281262839305
seg_8f5589,6.429404733777875
seg_8ab3a7,3.1250137491033043
seg_84a65d,9.974491174846566
seg_4d18f4,3.22096280858504
seg_37669c,2.629442384362097
seg_95f45e,8.462681067733422
seg_76b76f,9.137516824825582
seg_c627fc,7.4967004538884625
seg_b42170,4.087368352172106
seg_6c292b,6.119813855381534
seg_a9f80e,8.306576689261266
seg_94aa0a,6.275049811745278
seg_1f7cf8,2.985440109800474
seg_fb1f5c,9.871230947724262
seg_0144cb,5.174602021200909
seg_3631ec,4.126571827160445
seg_52636c,2.384173918125817
seg_bf2d1f,9.727611521621814
seg_cd699e,3.6694882480362296
seg_f59974,7.911791739308278
seg_3f99c8,2.9301624931512724
seg_37bf85,2.0557027389320317
seg_850d95,2.5662976023775057
seg_62c582,2.047004506748044
seg_6de4fd,9.13819520345183
seg_fea3e2,8.346672376654743
seg_49b0cb,10.528328512020273
seg_596ae3,6.680862567488395
seg_bce23c,6.598052355852802
seg_bd629b,5.4895118336425766
seg_dcf242,5.240164681854973
seg_fa0ac7,5.0253854062434575
seg_00030f,2.8900220926749514
